Field,Value
Title,Public Airports
URL,public-airports
Description,"This is a point layer of Public Use Airports currently permitted by the State of California, Department of Transportation (Caltrans), Division of Aeronautics. Details for each site are updated regularly after airport permit safety inspections of each site."
Tags,"Airport,CAOpenData,California Department of Transportation,California State Transportation Agency,Caltrans,Coronavirus,Covid,Covid-19,Covid19"
License,cc-by
Topic,transportation
Organization,Caltrans
Public Access Level,Public
Rights,No restrictions on public use
Program Contact Name,Division of Aeronautics
Program Contact Email,caltrans.gislib@dot.ca.gov
Author,Office of Data Services and Technology
Homepage URL,
Frequency,Irregular
Temporal Coverage,
Granularity,
Geographic Coverage Location,State
Spatial,
Data Standard,
Language,en_US
Source Link,https://gisdata.dot.ca.gov/arcgis/rest/services/Aviation/Public_Airports/MapServer/0
Additional Information,
Related Resources,
Secondary Sources,
Citation,
