Field,Value
Title,Vehicle Fuel Economy
URL,vehicle-fuel-economy
Description,"Vehicle fuel economy and other emissions statistics, fuel/engine/drivetrain types, and other vehicle and costing information."
Tags,"Emissions,Fuel,Fuel Economy,Vehicles"
License,other-pd
Topic,
Organization,California Air Resources Board
Public Access Level,Public
Rights,No Restrictions on Public Use
Program Contact Name,Abhilash Vijayan
Program Contact Email,abhilash.vijayan@arb.ca.gov
Author,https://www.fueleconomy.gov/feg/download.shtml
Homepage URL,https://www.fueleconomy.gov
Frequency,Annual
Temporal Coverage,
Granularity,
Geographic Coverage Location,
Spatial,
Data Standard,
Language,English
Source Link,https://www.fueleconomy.gov/feg/download.shtml
Additional Information,
Related Resources,
Secondary Sources,
Citation,
