Field,Value
Title,Vehicle Fuel Type Count by Zip Code
URL,vehicle-fuel-type-count-by-zip-code
Description,"<p>The report provides vehicle counts broken down by ZIP code, model year, fuel type, make and duty (light/heavy) of registered vehicles as of 10/1/2018.</p>
"
Tags,"Battery Electric,California Zip Codes,Ethanol,Fuel Cell,Fuel Type,Hybrid Gas,Plug-In Hybrid,diesel,gasoline"
License,
Topic,
Organization,California Department of Motor Vehicles
Public Access Level,Public
Rights,No Restrictions on Public Use
Program Contact Name,"DMV, Information Services Branch"
Program Contact Email,CPDISBPIPS@dmv.ca.gov
Author,Department of Motor Vehicles
Homepage URL,
Frequency,Irregular
Temporal Coverage,
Granularity,
Geographic Coverage Location,
Spatial,
Data Standard,
Language,
Source Link,
Additional Information,
Related Resources,
Secondary Sources,
Citation,
